# ID,label,height,root_density
  96.00000,   0.00000,  14.82000,   0.00047
  97.00000,   0.00000,  20.79000,   0.00214
  98.00000,   0.00000,  12.49000,   0.00046
  99.00000,   0.00000,  13.01000,   0.00136
 100.00000,   1.00000,  14.29000,   0.01333
 101.00000,   1.00000,  12.48000,   0.00938
 102.00000,   1.00000,  14.71000,   0.00748
 103.00000,   1.00000,   8.52000,   0.01266
 104.00000,   1.00000,   5.31000,   0.00888
 105.00000,   1.00000,  13.24000,   0.00968
 106.00000,   1.00000,   7.73000,   0.01250
 107.00000,   1.00000,   5.83000,   0.00595
 108.00000,   1.00000,   5.93000,   0.02618
 109.00000,   1.00000,   6.96000,   0.00746
 110.00000,   1.00000,   8.04000,   0.00586
 111.00000,   1.00000,   8.13000,   0.01355
 112.00000,   1.00000,   6.47000,   0.01786
 113.00000,   1.00000,   6.66000,   0.00683
 114.00000,   1.00000,   7.11000,   0.00723
 115.00000,   1.00000,  13.19000,   0.01761
 116.00000,   1.00000,   5.80000,   0.01653
 117.00000,   1.00000,   9.05000,   0.01014
 118.00000,   1.00000,   5.60000,   0.02312
 119.00000,   1.00000,   7.39000,   0.00633
 120.00000,   1.00000,  13.78000,   0.01282
 121.00000,   1.00000,   9.40000,   0.03145
 122.00000,   1.00000,  11.39000,   0.03012
 123.00000,   1.00000,   7.83000,   0.02349
 124.00000,   1.00000,   6.60000,   0.00802
 125.00000,   1.00000,  11.46000,   0.01866
 126.00000,   1.00000,   9.37000,   0.01812
 127.00000,   1.00000,   8.59000,   0.00667
 128.00000,   1.00000,  14.24000,   0.00699
 129.00000,   1.00000,   7.71000,   0.01415
 130.00000,   1.00000,   6.09000,   0.00311
 131.00000,   1.00000,   5.82000,   0.00857
 132.00000,   1.00000,   6.55000,   0.00898
 133.00000,   1.00000,  13.42000,   0.00990
 134.00000,   1.00000,   6.01000,   0.01748
 135.00000,   1.00000,  13.75000,   0.01980
 136.00000,   1.00000,   7.29000,   0.00524
 137.00000,   1.00000,   5.04000,   0.02256
 138.00000,   1.00000,   6.58000,   0.01531
 139.00000,   1.00000,   9.58000,   0.01423
 140.00000,   1.00000,   6.09000,   0.00571
 141.00000,   1.00000,   8.03000,   0.02797
 142.00000,   1.00000,   5.97000,   0.01961
 143.00000,   1.00000,   6.12000,   0.01342
 144.00000,   1.00000,   7.38000,   0.01695
 145.00000,   1.00000,   7.54000,   0.01840
 146.00000,   1.00000,   6.28000,   0.01550
 147.00000,   1.00000,  13.74000,   0.02020
 148.00000,   1.00000,  13.49000,   0.01520
 149.00000,   1.00000,   6.45000,   0.01869
 150.00000,   1.00000,   6.08000,   0.00971
 151.00000,   1.00000,   6.24000,   0.01099
 152.00000,   1.00000,   8.49000,   0.00723
 153.00000,   1.00000,  11.05000,   0.01515
 154.00000,   1.00000,   6.23000,   0.01887
 155.00000,   1.00000,  10.03000,   0.00625
 156.00000,   1.00000,  14.68000,   0.01003
 157.00000,   1.00000,   7.47000,   0.01929
 158.00000,   1.00000,   9.34000,   0.00993
 159.00000,   1.00000,   7.00000,   0.02190
 160.00000,   1.00000,   7.16000,   0.01571
 161.00000,   1.00000,   6.34000,   0.01597
 162.00000,   1.00000,   7.40000,   0.01109
 163.00000,   1.00000,   6.40000,   0.00943
 164.00000,   1.00000,   5.92000,   0.00549
 165.00000,   1.00000,  12.21000,   0.02985
 166.00000,   1.00000,   5.89000,   0.01130
 167.00000,   1.00000,   5.58000,   0.01408
 168.00000,   1.00000,   6.30000,   0.01295
 169.00000,   1.00000,   7.82000,   0.00552
 170.00000,   1.00000,   8.24000,   0.00755
 171.00000,   1.00000,   8.16000,   0.02007
 172.00000,   1.00000,  11.43000,   0.01596
 173.00000,   1.00000,   6.73000,   0.00727
 174.00000,   1.00000,  13.42000,   0.01429
 175.00000,   1.00000,   5.70000,   0.02703
 176.00000,   1.00000,   9.68000,   0.00896
 177.00000,   1.00000,   6.16000,   0.00730
 178.00000,   1.00000,   9.35000,   0.02532
 179.00000,   1.00000,   6.12000,   0.01149
 180.00000,   1.00000,   5.98000,   0.02027
 181.00000,   1.00000,   8.03000,   0.00785
 182.00000,   1.00000,   6.59000,   0.00292
 183.00000,   1.00000,   9.82000,   0.00806
 184.00000,   1.00000,   8.20000,   0.00285
